City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Sitka,US,35.49,overcast clouds,57.0531,-135.33,Westmark Sitka
260,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
261,Hamilton,US,40.6,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
263,Hokitika,NZ,58.91,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
264,Kasangulu,CD,86.94,moderate rain,-4.5911,15.1708,Hôtel le Relais
267,Chitipa,MW,69.21,light rain,-9.7024,33.2697,Tulipoka Lodges
268,Blonie,PL,53.17,overcast clouds,52.1985,20.6171,"Derby. Zajazd, restauracja"
269,Marsh Harbour,BS,71.89,broken clouds,26.5412,-77.0636,Abaco Beach Resort
270,Devonport,AU,65.08,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
271,Constitucion,CL,60.71,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
272,Viedma,AR,63.5,overcast clouds,-40.8135,-62.9967,Hotel Cristal
273,Sabang,ID,84.06,overcast clouds,5.8933,95.3214,Hotel Citra
274,Hudson Bay,CA,37.31,overcast clouds,52.85,-102.3842,Norwood Motel LTD
275,Shwebo,MM,90.59,few clouds,22.5667,95.7,MOON SHINE Guest House
276,Coahuayana,MX,85.03,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
277,Parrita,CR,85.37,scattered clouds,9.5201,-84.3225,Beso del Viento
281,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
282,Crestview,US,56.84,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
283,Murighiol,RO,73.89,few clouds,45.0333,29.1667,Cristian
284,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
285,Baishishan,CN,51.01,overcast clouds,43.5833,127.5667,Maple Leaf Hotel
286,Langsa,ID,76.28,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
287,Peplos,GR,61.86,clear sky,40.9583,26.2656,Oikeia Kallinaki Theodorou
288,Kautokeino,NO,32.81,light snow,69.0125,23.0412,Thon Hotel Kautokeino
290,Bhongir,IN,87.1,broken clouds,17.5108,78.8889,Hotel Vivera
291,Muros,ES,68.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
292,Belyy Yar,RU,37.29,clear sky,53.6039,91.3903,Pasportnyy Stol
293,Flinders,AU,65.17,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
294,Samarai,PG,82.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
296,Topeka,US,50.11,clear sky,39.0483,-95.678,Hotel Topeka At City Center
